driver_id,start_time,end_time,start_location,end_location
61,2005-02-22 07:18:37 +0000,2005-02-22 09:05:19 +0000,"-13.906480580472845, 54.31317430431136","41.66784619348516, -114.53153591751112"
62,1978-11-01 02:09:07 +0000,1978-11-01 02:34:20 +0000,"-83.74383274223814, 166.29504294061462","41.72410348339241, 173.50676610858358"
63,1977-11-10 06:35:34 +0000,1977-11-10 07:17:38 +0000,"64.03724777099387, 47.28676906870672","-78.12110815201932, 135.4428980269464"
64,2006-11-15 00:51:13 +0000,2006-11-15 02:00:38 +0000,"-6.5625038712096, -131.16761103330467","-86.72270773244973, -133.3186513245451"
65,1990-11-24 07:52:46 +0000,1990-11-24 10:29:28 +0000,"-85.70356268314995, 13.98988946771783","53.550811307417234, 72.29590066710438"
66,1972-12-26 09:16:51 +0000,1972-12-26 09:47:40 +0000,"49.622626934724764, -6.415465925465639","-25.908869264961098, 134.2419009644566"
67,2015-01-16 00:07:55 +0000,2015-01-16 00:30:39 +0000,"1.881571850330218, -85.04270665183778","30.83546879619223, -171.75517013653723"
68,1975-06-05 09:53:39 +0100,1975-06-05 12:17:15 +0100,"41.382189405701155, -42.611181354005424","52.40259459053061, -43.47325964360243"
69,1971-11-15 22:47:16 +0000,1971-11-15 23:11:18 +0000,"-25.023803562525742, 162.35232908826742","49.9833569859351, 86.71644178745782"
70,1998-04-29 19:18:36 +0100,1998-04-29 21:32:06 +0100,"-65.90900360540667, 154.6465166562461","55.919929675537844, -39.63165765697772"
71,1982-05-26 17:50:12 +0100,1982-05-26 20:06:31 +0100,"14.66780132349254, -19.42123346298297","62.792617960150125, -24.888633688772984"
72,1975-03-17 19:14:14 +0100,1975-03-17 20:42:15 +0100,"51.50484389995228, -175.53991791102058","81.53302197212525, 135.914404611053"
73,1991-03-09 20:02:25 +0000,1991-03-09 20:36:03 +0000,"-74.56914687849667, -117.29250536943391","-82.24856938794787, -17.124212473211486"
74,1997-01-02 00:55:07 +0000,1997-01-02 01:37:14 +0000,"-20.421446896565143, -162.80926927861734","0.9946686137339213, 30.21509775347721"
75,2004-02-24 13:51:13 +0000,2004-02-24 14:37:48 +0000,"25.23512771989178, -124.38424824932869","-36.6491938794043, 18.630748768824134"
76,1984-04-11 16:49:55 +0100,1984-04-11 17:32:14 +0100,"-71.85083450364563, 6.8558747676750045","-18.158803867756276, -131.11154104896858"
77,2007-02-26 00:22:02 +0000,2007-02-26 01:25:14 +0000,"34.2706121229685, 120.75775656478316","-43.892059387613486, 8.107533295150205"
78,1984-04-07 11:45:44 +0100,1984-04-07 12:49:59 +0100,"85.04318068047385, 23.741154313108495","87.23033858111475, -102.00320188266863"
79,2005-08-03 21:29:31 +0100,2005-08-03 21:47:42 +0100,"-88.17895706810516, -60.49916438575782","-70.9600232787578, -52.74004530853331"
80,1982-07-26 12:17:59 +0100,1982-07-26 14:08:22 +0100,"-82.95649967669851, -55.84387528772136","84.83198390593424, 81.17078146206711"
81,1971-07-12 17:24:42 +0100,1971-07-12 18:32:01 +0100,"-81.34915183461582, -129.65933134388692","69.50462872494003, 23.70502498192363"
82,2015-02-14 09:58:42 +0000,2015-02-14 11:11:38 +0000,"-85.56885085220108, 10.2218185422241","47.662068870085335, 175.63374786857185"
83,1995-08-11 17:15:35 +0100,1995-08-11 19:57:46 +0100,"-67.88601222050494, 28.953737731658464","-78.76413121483168, -153.48975828086432"
84,1987-08-16 05:31:02 +0100,1987-08-16 05:53:01 +0100,"88.03005821201029, -37.993473811688915","-64.67178255325838, -105.55701771368511"
85,1973-04-06 13:04:08 +0100,1973-04-06 14:12:25 +0100,"-29.029010472052413, -45.146568600667734","-77.60835264722931, -136.12234908740731"
86,1986-02-24 17:31:41 +0000,1986-02-24 18:22:14 +0000,"55.42570278687637, 98.57181554718488","-45.05312993645083, 89.9452272626097"
87,1987-08-17 08:51:14 +0100,1987-08-17 09:52:08 +0100,"62.52298889509666, -157.09623794048588","87.9581197418089, 19.52516276294577"
88,2006-12-30 16:40:36 +0000,2006-12-30 19:12:29 +0000,"32.478484349106935, -110.45689844000371","89.72009805734791, -166.1906919910841"
89,2000-02-13 00:06:04 +0000,2000-02-13 00:40:12 +0000,"-45.48830686183672, 38.44459678459367","-18.548651440174353, 101.62476491085357"
90,1993-12-08 21:55:44 +0000,1993-12-08 23:10:14 +0000,"28.090904447513353, 156.4177461819839","-31.297737331720278, -74.23903961469362"
91,2011-08-19 19:57:49 +0100,2011-08-19 20:05:10 +0100,"-68.20881772141328, 57.92261165653284","-4.169668288193677, 5.860619254892214"
92,1993-08-10 11:49:24 +0100,1993-08-10 13:40:47 +0100,"47.754170063317616, -114.3893777086864","-74.12950482054347, -44.81726884913968"
93,1982-04-04 22:36:47 +0100,1982-04-05 01:14:51 +0100,"-11.356447723122486, -69.13574640493705","-15.142135661810826, -121.8582071970034"
94,1973-03-20 14:12:27 +0100,1973-03-20 15:10:40 +0100,"-41.633099732544565, 143.52359500218114","49.6846513827941, -168.18423234194742"
95,2007-10-12 07:54:27 +0100,2007-10-12 08:19:56 +0100,"-46.781357818004906, -74.52510317102534","13.699565442344905, 164.86340490977943"
96,1991-02-13 13:17:22 +0000,1991-02-13 15:11:48 +0000,"29.753501831025474, -147.9403403453682","-19.17367635803835, -80.17058421562044"
97,2011-06-22 12:24:05 +0100,2011-06-22 12:46:44 +0100,"26.46652056317589, 10.72435727206971","65.38425066357163, 5.12772364881971"
98,2014-07-28 07:22:26 +0100,2014-07-28 09:34:39 +0100,"-83.72028184892315, 26.76875039876643","55.06772754099276, -76.61224759071915"
99,2004-08-03 08:33:42 +0100,2004-08-03 10:04:06 +0100,"40.12992249878883, -111.62422017292035","-86.57217190295292, -72.26469156483834"
0,1974-01-24 22:51:37 +0000,1974-01-24 23:04:57 +0000,"-52.585235568904274, 149.44742192734196","5.709422312634473, -43.12557256926212"
1,1982-08-31 22:52:31 +0100,1982-09-01 00:36:18 +0100,"13.792787797423102, -53.73286979706447","-18.903881195253064, -100.08520165871977"
2,1994-11-15 21:20:03 +0000,1994-11-15 23:24:51 +0000,"-78.71494977226737, -48.658915692594206","-53.42500578526936, -83.44262391396893"
3,1972-02-03 00:22:56 +0000,1972-02-03 02:55:54 +0000,"7.7409201396876455, -107.8023352184193","-1.1309973474070034, 177.81119515516667"
4,1980-12-06 15:53:06 +0000,1980-12-06 18:00:57 +0000,"65.1665133387308, 94.54118524752971","-69.97623783180059, 78.69324341345686"
5,2014-09-04 08:38:04 +0100,2014-09-04 09:11:14 +0100,"-35.30781888024696, -119.72968555872902","87.00725637815711, 101.8769612645641"
6,1988-01-26 13:39:28 +0000,1988-01-26 16:20:51 +0000,"-42.60140497305722, -1.3055040758823964","41.15271475059072, 77.7354704490831"
7,1986-06-21 13:27:19 +0100,1986-06-21 13:37:48 +0100,"44.54450830620226, 109.5527991221108","65.97370971279443, 114.2843334049794"
8,1970-01-20 19:29:00 +0100,1970-01-20 19:30:24 +0100,"-73.76029222714467, 28.80767341377353","31.91684584574824, -138.9646853164583"
9,2014-01-15 05:57:20 +0000,2014-01-15 08:36:51 +0000,"-62.04947120478289, -37.99185444284063","-54.88032209905403, 163.3324282869603"
10,1982-02-15 11:49:36 +0000,1982-02-15 11:59:53 +0000,"30.842434902468327, 83.97817514161818","76.35752615472595, -38.225395232132485"
11,2009-03-28 12:07:10 +0000,2009-03-28 14:15:36 +0000,"-33.34436049906054, -142.03088162649738","-32.019438732882676, -53.40823520856415"
12,1998-05-22 10:50:32 +0100,1998-05-22 11:12:31 +0100,"29.084721258385983, 5.062631416870744","-73.54845370627194, 88.19250718964224"
13,1975-09-05 05:35:34 +0100,1975-09-05 07:58:08 +0100,"-20.797057187210655, 29.355765742444987","-58.18321134458123, -165.65657346423237"
14,2004-04-01 11:49:05 +0100,2004-04-01 12:32:59 +0100,"-18.40335358490674, -89.97672139471521","-29.267257634371525, 115.01800073257078"
15,2015-04-29 07:50:02 +0100,2015-04-29 10:22:16 +0100,"31.026669315356216, 2.432531633739643","24.87147825290623, -57.71748734746532"
16,1986-03-19 12:04:54 +0000,1986-03-19 13:08:01 +0000,"-65.03940695485853, -81.36571876706394","2.7838534431881214, -14.354828461292811"
17,1982-03-21 16:59:27 +0000,1982-03-21 17:28:15 +0000,"51.79840843184664, -97.02816912137794","-20.02536840660501, -0.7215759900386729"
18,1977-09-14 01:22:43 +0100,1977-09-14 02:51:34 +0100,"-51.151719048732545, 109.74279448099901","58.16856878930645, 118.83501636252157"
19,2000-07-16 14:34:58 +0100,2000-07-16 15:48:05 +0100,"-54.47233692480997, -123.13666277311864","-6.240132513427483, 29.2376488469248"
20,1991-05-26 22:01:03 +0100,1991-05-26 22:28:52 +0100,"-85.52707221506995, 31.024059733553884","0.9932412655788596, 20.167308114773505"
21,2014-03-16 07:20:59 +0000,2014-03-16 09:42:25 +0000,"-65.74574162885818, -162.07599534580282","2.621591215191927, 100.0287023482835"
22,1993-10-06 16:16:47 +0100,1993-10-06 16:46:10 +0100,"-22.267305750210156, 113.82712617039755","50.646007862885426, -123.55087905856499"
23,2009-01-10 18:25:44 +0000,2009-01-10 21:12:01 +0000,"-22.36283256867023, 35.217072474167935","42.29670111607618, 86.4404506255683"
24,1971-07-04 06:46:16 +0100,1971-07-04 08:33:20 +0100,"54.452812205086104, 63.12207043388386","8.867800806597714, -164.71371665609317"
25,2004-10-10 10:38:25 +0100,2004-10-10 13:08:48 +0100,"70.07542295944424, 99.21237379573535","-6.645111136473858, -104.59548538362067"
26,1987-08-31 06:29:19 +0100,1987-08-31 07:23:31 +0100,"-80.81978100401827, -132.48941970263863","-41.9450732367886, -18.463609752578293"
27,1975-03-09 02:54:20 +0000,1975-03-09 03:27:42 +0000,"-24.076274583942435, 1.633953442452139","-10.133058369598217, -178.17711609556565"
28,1985-10-03 11:39:09 +0100,1985-10-03 12:31:03 +0100,"-5.923464318207692, 71.41409446402886","-37.1301861325864, -21.370649473027754"
29,2007-10-19 11:13:26 +0100,2007-10-19 11:31:40 +0100,"-61.96924657671572, 161.00111168288146","-16.32513463503777, -108.40040206814398"
30,1998-08-16 19:21:33 +0100,1998-08-16 21:45:40 +0100,"33.18999532922889, -141.44784507629203","-29.326201855872092, 9.679698426655335"
31,1975-08-19 03:00:42 +0100,1975-08-19 05:17:21 +0100,"66.39741783870343, 59.70712976519698","28.526467381144272, -75.53519939392893"
32,1975-10-29 08:18:13 +0000,1975-10-29 08:51:56 +0000,"-71.29250877672254, 73.90460089164128","34.867987832780145, 55.96255789598487"
33,2013-05-07 20:48:51 +0100,2013-05-07 22:11:36 +0100,"-25.00268245711331, -59.97900081625967","24.179879205212302, 94.11234477995447"
34,1976-04-27 15:51:56 +0100,1976-04-27 17:50:14 +0100,"-25.789501076596522, -144.81427611494001","20.9972215421586, -72.4868980268415"
35,1991-04-11 06:48:45 +0100,1991-04-11 09:15:00 +0100,"-81.10193998629333, 23.515597276437205","-70.08978697638972, -15.942675606156172"
36,1984-06-22 11:16:45 +0100,1984-06-22 11:50:22 +0100,"39.18492611429252, 159.83583362256877","68.01132920049628, 73.77811632273801"
37,1996-10-10 07:40:38 +0100,1996-10-10 08:35:43 +0100,"0.36034543777924455, -29.805878354743783","-42.69414069962929, 1.4898892803456079"
38,1970-05-03 09:06:06 +0100,1970-05-03 09:42:50 +0100,"-7.476559967517176, 163.21889133040492","-71.75994121142236, -52.66572476650478"
39,1992-08-18 02:26:17 +0100,1992-08-18 02:40:07 +0100,"33.55219339651282, 83.98835799458129","-56.91125880837187, -6.080512517531162"
40,1978-01-14 05:48:22 +0000,1978-01-14 07:31:08 +0000,"-27.68770114664577, 91.90318471853215","0.02504170453852339, -120.92722812269483"
41,1983-08-07 18:14:01 +0100,1983-08-07 19:33:43 +0100,"-87.0420195233146, -136.50959108909046","88.63724887278781, 126.29898220916874"
42,1990-02-13 13:41:50 +0000,1990-02-13 14:50:36 +0000,"26.689229556933853, 11.0831917985617","61.11826267546263, -5.639013861158588"
43,2014-11-26 01:21:28 +0000,2014-11-26 02:15:42 +0000,"71.92049192616128, -23.981027085872853","23.605454561488898, 143.30511554792713"
44,1977-10-31 17:34:35 +0000,1977-10-31 17:39:21 +0000,"38.12195532650887, -111.13468647867383","28.492548276095206, -21.439031970968387"
45,1988-09-15 23:11:28 +0100,1988-09-16 01:38:47 +0100,"16.449709433747557, 58.03391090253177","3.8077405191153275, -132.37720628066995"
46,1979-01-27 03:25:09 +0000,1979-01-27 03:25:43 +0000,"-81.75933610698507, 94.85250821751436","-52.317604754753006, 137.00001028353682"
47,1978-07-30 17:28:52 +0100,1978-07-30 18:44:22 +0100,"28.720915624262418, -130.68882332843566","-5.177893924668254, -28.835614097680036"
48,2008-05-27 15:57:46 +0100,2008-05-27 18:07:27 +0100,"46.42665615786677, 144.5189972147242","50.25123359273684, 107.20310650469196"
49,1976-04-26 04:19:00 +0100,1976-04-26 05:18:36 +0100,"28.8016616006484, 83.86228269159079","13.937916925884721, 65.14172889259311"
50,1991-03-08 05:34:46 +0000,1991-03-08 08:05:48 +0000,"-81.91060689856266, -60.98472791988672","-28.377318552567914, -59.79784558307914"
51,1997-01-09 21:59:11 +0000,1997-01-10 00:20:16 +0000,"-17.763260045899074, 112.47872362075304","-40.4310161430992, 145.06335771535907"
52,1974-06-04 06:01:55 +0100,1974-06-04 07:13:32 +0100,"-72.56361119146978, -29.358184290648552","5.911155933785352, -95.1710233113464"
53,2004-11-03 01:55:15 +0000,2004-11-03 02:37:48 +0000,"14.761252172876496, 54.619883336941825","-39.040534929429775, 134.1363370788871"
54,1997-10-11 04:54:16 +0100,1997-10-11 05:11:19 +0100,"-85.57987359547484, -35.50832230531776","-16.81972068043956, 149.77078511674392"
55,2004-05-06 03:34:14 +0100,2004-05-06 03:57:47 +0100,"-71.1054397007087, -55.840855505779246","31.906675646094584, 178.25409342330596"
56,1997-04-10 17:32:10 +0100,1997-04-10 19:22:11 +0100,"41.90464380993248, -160.08732849637892","87.26211474911315, -85.43307619423003"
57,1974-03-03 23:39:50 +0000,1974-03-04 00:15:11 +0000,"-22.68213827854639, 175.78292267911985","-81.96196632143449, -157.6479347001486"
58,1996-10-26 06:12:57 +0100,1996-10-26 07:08:52 +0100,"-73.02920606714017, -92.27270993094696","24.95890604305562, -97.0195265157348"
59,1982-09-23 00:59:34 +0100,1982-09-23 03:35:08 +0100,"3.9880113797237158, 21.15432824092369","44.352192343735, -106.33717861694171"
60,1970-09-05 06:27:07 +0100,1970-09-05 06:28:39 +0100,"17.863970260697386, -166.99281827050842","-65.80609466026776, -137.35028899686253"
61,2004-04-08 22:38:14 +0100,2004-04-08 23:24:05 +0100,"-29.82089021274617, 89.37220538006108","80.40480910367523, -142.779472029098"
62,1984-05-06 13:18:55 +0100,1984-05-06 15:18:53 +0100,"23.059906943049924, -140.27618768450168","-36.84015321149925, -19.297004016674833"
63,1997-11-24 15:11:49 +0000,1997-11-24 16:12:15 +0000,"33.966866548311785, 19.966670253360746","17.90740534798924, -30.642979476574823"
64,1994-01-31 22:22:32 +0000,1994-01-31 22:56:30 +0000,"60.54821873115236, -3.5176860852580774","-47.588854296199926, -113.54211611633686"
65,2010-07-08 18:36:19 +0100,2010-07-08 21:19:06 +0100,"-48.28142922896848, 174.25444036542603","47.75349328581521, -93.85032304248405"
66,1988-12-01 00:58:45 +0000,1988-12-01 01:04:18 +0000,"-76.74290814877526, -177.3815928307334","24.617522791864914, 166.05797117047302"
67,2006-10-30 14:48:40 +0000,2006-10-30 15:55:10 +0000,"70.73722042666691, 118.02884989909876","-34.23693199879245, 142.2127456589078"
68,2005-08-15 02:51:48 +0100,2005-08-15 05:12:23 +0100,"-84.61830953328847, -71.10881139550176","40.669772130708424, -121.79475882021259"
69,2015-08-07 05:50:11 +0100,2015-08-07 07:43:19 +0100,"-2.0204688766643955, 20.67865035072313","-60.80883501428444, -147.16018567648004"
70,2005-08-16 23:57:32 +0100,2005-08-17 00:32:07 +0100,"-59.89459753660766, 55.39322822399495","17.946910593679846, -96.32452156376137"
71,1985-10-30 23:26:55 +0000,1985-10-30 23:30:38 +0000,"-56.97746750254196, -91.47776196222748","70.90623431033322, -45.330835622687374"
72,2005-11-14 00:53:47 +0000,2005-11-14 01:25:45 +0000,"-86.97132250695215, -129.91790479969936","61.16602094849952, 100.11879651229111"
73,1970-01-01 10:50:42 +0100,1970-01-01 11:59:10 +0100,"-2.7099527519748534, -111.9896028086586","-74.1318761573787, 132.37871108558124"
74,1981-07-04 06:26:16 +0100,1981-07-04 06:36:01 +0100,"70.50708219641422, 53.868560315727876","-50.90115925355096, 170.1302165395545"
75,2012-06-22 22:22:21 +0100,2012-06-22 22:48:01 +0100,"56.50920128506519, -134.23904233449895","55.38319676190653, 176.86994078161013"
76,2009-12-18 13:18:31 +0000,2009-12-18 14:23:27 +0000,"-30.385332288885245, -45.10084109822273","-81.21048461862098, 150.3866985780487"
77,1979-01-25 09:36:48 +0000,1979-01-25 10:52:33 +0000,"-86.15886560173315, -136.44894192959507","-27.749483815205934, -51.081271000917326"
78,2003-10-16 17:38:33 +0100,2003-10-16 17:57:42 +0100,"56.90797966805661, -138.50770432513463","30.323397722354954, 47.60068679372762"
79,2013-02-19 19:21:50 +0000,2013-02-19 20:19:07 +0000,"9.624558939506215, 64.14024687013497","-47.963286739666295, -178.49137267270393"
80,2008-04-24 07:20:25 +0100,2008-04-24 07:47:33 +0100,"30.84035150193816, 133.07521213387548","86.81269712368052, 67.35680466763279"
81,1986-12-14 12:58:13 +0000,1986-12-14 12:58:34 +0000,"38.544499407528974, -88.38307620592042","48.19271653925563, -85.56147425689785"
82,1995-04-04 18:06:50 +0100,1995-04-04 19:46:40 +0100,"-23.40347248986953, 151.51520626349037","-33.04160087423524, -21.863519892461454"
83,2014-05-21 18:47:22 +0100,2014-05-21 19:53:48 +0100,"-18.7904599392957, 37.473715403924075","-87.34087010784768, 84.48932017296778"
84,1990-09-26 07:26:17 +0100,1990-09-26 09:46:09 +0100,"6.301395405468895, 77.14582985186564","31.102188583978688, -95.36877682828361"
85,1995-08-21 11:29:56 +0100,1995-08-21 12:49:22 +0100,"-81.07830168547443, -87.70513373334595","16.904741175144665, -48.97067693019372"
86,1987-04-25 09:23:22 +0100,1987-04-25 12:02:49 +0100,"44.02457099356019, 17.477122036465687","26.18946365900908, -33.739159111508826"
87,1994-09-08 21:41:58 +0100,1994-09-08 23:54:40 +0100,"-79.28089144405743, 34.31038841895588","66.11508986254452, -126.19913224743559"
88,1990-11-26 15:31:12 +0000,1990-11-26 16:09:45 +0000,"68.05736089082734, 75.2401584007896","-3.386107422471838, -107.92141120543033"
89,2008-01-22 15:12:47 +0000,2008-01-22 16:28:05 +0000,"-61.13472797665564, -110.41294029666535","-71.73974790925499, 32.68169030499908"
90,2009-02-23 22:15:51 +0000,2009-02-23 22:53:31 +0000,"-85.80427976870973, 35.26755109245798","-48.173077517244664, 44.77878503614011"
